device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,mobilenet-v2-050,10,1905MHz,dvfs10,server,598.5,1.0,598.5,10,597.125,592.87,603.0,92.935,296.38,129.625,181.335,51.59,0.086163,0.084158,0.087512,1
gpu-server,mobilenet-v2-050,11,1950MHz,dvfs11,server,585.0,0.25,146.25,10,146.675,142.03,149.27,20.03,21.42,133.65,146.46,12.92,0.089034,0.081743,0.096768,1
gpu-server,mobilenet-v2-050,11,1950MHz,dvfs11,server,585.0,0.5,292.5,10,293.89,289.12,295.0,22.815,23.69,135.55,164.205,28.665,0.097419,0.092515,0.100125,1
gpu-server,mobilenet-v2-050,11,1950MHz,dvfs11,server,585.0,0.75,438.75,10,438.37,433.38,440.08,22.515,23.68,136.85,183.19,46.335,0.105935,0.103504,0.108563,1
gpu-server,mobilenet-v2-050,11,1950MHz,dvfs11,server,585.0,1.0,585.0,10,583.8,580.15,589.72,44.45,112.27,140.75,203.845,63.055,0.107827,0.105783,0.109611,1
gpu-server,mobilenet-v2-100,0,300MHz,dvfs0,server,168.8,0.25,42.2,10,41.935,40.27,43.28,19.9,20.34,98.85,102.085,3.15,0.075248,0.049104,0.098833,1
gpu-server,mobilenet-v2-100,0,300MHz,dvfs0,server,168.8,0.5,84.4,10,84.26,83.33,85.23,21.32,21.88,98.4,107.465,8.9,0.105618,0.090238,0.111351,1
gpu-server,mobilenet-v2-100,0,300MHz,dvfs0,server,168.8,0.75,126.6,10,127.485,125.13,128.55,27.11,29.88,98.075,115.84,17.72,0.139176,0.131478,0.144653,1
gpu-server,mobilenet-v2-100,0,300MHz,dvfs0,server,168.8,1.0,168.8,10,168.475,166.77,172.25,65.52,79.06,98.875,123.66,24.86,0.146682,0.138501,0.154971,1
gpu-server,mobilenet-v2-100,1,420MHz,dvfs1,server,307.3,0.25,76.83,10,76.87,75.65,78.85,20.695,21.57,98.775,104.04,5.445,0.069982,0.058295,0.089752,1
gpu-server,mobilenet-v2-100,1,420MHz,dvfs1,server,307.3,0.5,153.65,10,154.105,150.6,155.8,20.415,22.7,98.525,112.275,13.685,0.089902,0.081826,0.095048,1
gpu-server,mobilenet-v2-100,1,420MHz,dvfs1,server,307.3,0.75,230.48,10,229.475,223.97,233.02,20.395,21.77,99.25,121.695,22.495,0.097922,0.096174,0.100187,1
gpu-server,mobilenet-v2-100,1,420MHz,dvfs1,server,307.3,1.0,307.3,10,307.715,304.27,310.45,42.79,54.38,98.675,130.25,31.34,0.102199,0.097074,0.103159,1
gpu-server,mobilenet-v2-100,2,600MHz,dvfs2,server,421.9,0.25,105.47,10,104.86,102.95,109.33,20.95,21.82,98.9,106.29,7.23,0.069556,0.060523,0.532916,1
gpu-server,mobilenet-v2-100,2,600MHz,dvfs2,server,421.9,0.5,210.95,10,211.345,206.07,214.22,21.57,23.15,98.625,116.345,17.41,0.083474,0.076587,0.086884,1
gpu-server,mobilenet-v2-100,2,600MHz,dvfs2,server,421.9,0.75,316.42,10,316.735,312.93,320.8,20.08,21.35,99.1,126.365,27.075,0.08566,0.083347,0.087366,1
gpu-server,mobilenet-v2-100,2,600MHz,dvfs2,server,421.9,1.0,421.9,10,422.865,418.08,424.93,45.685,58.14,98.925,135.955,36.97,0.087388,0.086247,0.089186,1
gpu-server,mobilenet-v2-100,3,810MHz,dvfs3,server,480.9,0.25,120.22,10,119.075,116.67,121.2,21.26,22.12,99.3,107.75,8.53,0.072369,0.058551,0.07364,1
gpu-server,mobilenet-v2-100,3,810MHz,dvfs3,server,480.9,0.5,240.45,10,242.095,239.42,245.05,22.025,22.94,99.2,118.255,19.015,0.078567,0.074346,0.081598,1
gpu-server,mobilenet-v2-100,3,810MHz,dvfs3,server,480.9,0.75,360.67,10,361.4,352.98,365.38,20.925,23.32,99.975,128.085,28.165,0.07837,0.074579,0.081532,1
gpu-server,mobilenet-v2-100,3,810MHz,dvfs3,server,480.9,1.0,480.9,10,480.98,476.1,487.58,39.375,50.87,99.8,137.92,38.03,0.079375,0.078104,0.082079,1
gpu-server,mobilenet-v2-100,4,1005MHz,dvfs4,server,510.1,0.25,127.53,10,128.35,124.4,129.55,19.93,20.4,99.85,108.315,8.56,0.066963,0.057219,0.073901,1
gpu-server,mobilenet-v2-100,4,1005MHz,dvfs4,server,510.1,0.5,255.05,10,254.26,251.98,257.17,21.425,21.98,99.9,119.455,19.61,0.077305,0.072788,0.079643,1
gpu-server,mobilenet-v2-100,4,1005MHz,dvfs4,server,510.1,0.75,382.58,10,383.2,378.0,387.1,20.275,21.31,99.825,130.885,31.15,0.081074,0.080538,0.083854,1
gpu-server,mobilenet-v2-100,4,1005MHz,dvfs4,server,510.1,1.0,510.1,10,509.39,504.62,514.82,55.87,116.05,100.05,140.81,40.71,0.079813,0.078319,0.082869,1
gpu-server,mobilenet-v2-100,5,1200MHz,dvfs5,server,590.6,0.25,147.65,10,147.475,144.47,149.83,21.445,21.88,100.3,110.235,10.045,0.067962,0.060936,0.071136,1
