model,model_label,segment,segment_label,segment_hex,device,dvfs_mode,dvfs_mode_label,condition_tag,capacity_ips,lambda_frac,load_group_pct,target_rps,n_runs,p95_latency_ms,ac_input_energy_j_per_inf,p95_deadline_feasible,deadline_normalized_ac_input_energy_delay_j_per_inf,deadline_normalized_edp_efficiency_inf_per_j,ac_input_energy_efficiency_inf_per_j
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,1,420MHz,dvfs1,427.5,0.75,75,320.62,10,20.0,0.068326,1,0.013665199999999999,73.17858501888007,14.635717003776016
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,2,600MHz,dvfs2,491.6,0.75,75,368.7,10,19.835,0.061553,1,0.01220903755,81.90653816115096,16.246161844264293
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,3,810MHz,dvfs3,540.0,0.75,75,405.0,10,22.195,0.056753,1,0.012596328349999998,79.3882131533988,17.62021390939686
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,4,1005MHz,dvfs4,568.6,0.75,75,426.45,10,21.48,0.058252,1,0.012512529599999999,79.91989085883961,17.166792556478747
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,5,1200MHz,dvfs5,607.5,0.75,75,455.62,10,21.81,0.058054,1,0.012661577399999999,78.97910097678667,17.22534192303717
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,6,1410MHz,dvfs6,562.5,0.75,75,421.88,10,22.0,0.060326,1,0.01327172,75.34818395807024,16.576600470775453
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,7,1545MHz,dvfs7,585.0,0.75,75,438.75,10,21.585,0.062443,1,0.01347832155,74.19321436206572,16.01460532005189
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,8,1710MHz,dvfs8,562.5,0.75,75,421.88,10,22.085,0.068783,1,0.015190725549999999,65.82964037553822,14.538476076937616
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,9,1800MHz,dvfs9,598.5,0.75,75,448.88,10,21.865,0.078796,1,0.017228745400000002,58.04253164017387,12.690999543124015
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,10,1905MHz,dvfs10,598.5,0.75,75,448.88,10,21.97,0.086599,1,0.019025800299999996,52.56020688916829,11.547477453550272
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,11,1950MHz,dvfs11,585.0,0.75,75,438.75,10,22.515,0.105935,1,0.02385126525,41.92649696015602,9.43975079057913
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,0,300MHz,dvfs0,230.6,1.0,100,230.6,10,62.33,0.10106,1,0.062990698,15.875359882502018,9.895111814763506
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,1,420MHz,dvfs1,427.5,1.0,100,427.5,10,52.335,0.069864,1,0.0365633244,27.34981067531157,14.31352341692431
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,2,600MHz,dvfs2,491.6,1.0,100,491.6,10,31.335,0.060543,1,0.01897114905,52.711620016500795,16.517186132170522
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,3,810MHz,dvfs3,540.0,1.0,100,540.0,10,29.625,0.055869,1,0.01655119125,60.4186118627564,17.899013764341586
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,4,1005MHz,dvfs4,568.6,1.0,100,568.6,10,36.435,0.058064,1,0.021155618400000003,47.268767146981624,17.222375310002757
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,5,1200MHz,dvfs5,607.5,1.0,100,607.5,10,93.085,0.056074,1,0.052196482899999994,19.158378964265427,17.833577058886473
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,6,1410MHz,dvfs6,562.5,1.0,100,562.5,10,35.52,0.060844,1,0.021611788800000004,46.27104258949633,16.4354743277891
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,7,1545MHz,dvfs7,585.0,1.0,100,585.0,10,74.815,0.061545,1,0.046044891750000004,21.71793573605263,16.248273620927776
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,8,1710MHz,dvfs8,562.5,1.0,100,562.5,10,37.805,0.069185,1,0.02615538925,38.23303834027245,14.454000144540002
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,9,1800MHz,dvfs9,598.5,1.0,100,598.5,10,184.04,0.077983,0,0.1435199132,6.967674225154145,12.823307643973687
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,10,1905MHz,dvfs10,598.5,1.0,100,598.5,10,92.935,0.086163,1,0.08007558405000001,12.48820113975803,11.605909729234126
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,11,1950MHz,dvfs11,585.0,1.0,100,585.0,10,44.45,0.107827,1,0.04792910150000001,20.864150770696167,9.274115017574447
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,jetson,0,MAXN,dvfs0,98.9,0.25,25,24.73,10,20.145,0.039134,1,0.0078835443,126.84649973997101,25.55322737261716
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,jetson,1,5W,dvfs1,64.1,0.25,25,16.02,10,27.175,0.032868,1,0.008931879,111.95852518826105,30.424729219909942
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin,0,MAXN,dvfs0,718.8,0.25,25,179.7,10,7.26,0.015883,1,0.0011531058,867.2231117040604,62.960397909714786
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin,1,MODE_15W,dvfs1,226.6,0.25,25,56.65,10,12.2,0.012005,1,0.0014646099999999999,682.7756194481808,83.29862557267805
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin,2,MODE_30W,dvfs2,390.6,0.25,25,97.65,10,9.165,0.010063,1,0.00092227395,1084.276531935007,99.37394415184338
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin,3,MODE_50W,dvfs3,484.4,0.25,25,121.1,10,8.445,0.01234,1,0.0010421130000000001,959.5888353758181,81.03727714748784
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin-nano,0,15W,dvfs0,494.2,0.25,25,123.55,10,5.835,0.008757,1,0.0005109709499999999,1957.0584198573326,114.19435879867535
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin-nano,1,25W,dvfs1,618.4,0.25,25,154.6,10,5.065,0.009149,1,0.00046339685,2157.97755207011,109.30156301235108
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin-nano,2,MAXN_SUPER,dvfs2,663.5,0.25,25,165.88,10,4.77,0.009798,1,0.00046736459999999994,2139.657132782415,102.06164523372118
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,orin-nano,3,7W,dvfs3,268.3,0.25,25,67.08,10,9.975,0.009816,1,0.000979146,1021.2981516546052,101.87449062754686
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,xavier,0,MODE_15W_2CORE,dvfs0,256.2,0.25,25,64.05,10,12.535,0.02677,1,0.0033556195,298.00756611409605,37.35524841240194
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,xavier,1,MODE_15W_4CORE,dvfs1,275.0,0.25,25,68.75,10,12.325,0.02544,1,0.00313548,318.930434893541,39.30817610062893
mobilenet-v2-050,MobileNet-V2 0.5,Jetson,Jetson,0072B2,xavier,2,MODE_15W_6CORE,dvfs2,287.5,0.25,25,71.88,10,11.91,0.024455,1,0.0029125905000000002,343.33697098854094,40.891433244735225
